"Branch Name,Address"
"Jalan Tun H.S. Lee,92, Jalan Tun H.S. Lee, Kuala Lumpur"
"Jalan Raja Laut,Menara DBKL 2, Jalan Raja Laut, Kuala Lumpur"
"Kompleks Dayabumi,City Point, Dayabumi Complex, Jalan Sultan Hishamuddin, Kuala Lumpur"
"Kepong,Jalan 53, Desa Jaya, Kepong, Kuala Lumpur"
"Jalan Tun Razak,Bangunan UTM SPACE, Jalan Tun Razak, Kuala Lumpur"
"Jinjang,Jalan 2/32, Off 6 1/2 Mile, Jalan Kepong, Kuala Lumpur"
"Taman Segar,Jalan Manis Enam, Taman Segar, Kuala Lumpur"
"Desa Pandan,Jalan 3/76D, Desa Pandan, Kuala Lumpur"
"Alam Damai,Jalan Alam Damai 1, Cheras, Kuala Lumpur"
"Kompleks Bandar,Jalan Mega Mendong, Bandar Park, Jalan Kelang Lama, Kuala Lumpur"
"KLCC,Suria KLCC, KL City Centre, Kuala Lumpur"
"Taman Cheras Makmur,Jalan Kaskas 1, Batu 6, Jalan Cheras, Kuala Lumpur"
"Sri Petaling,Jalan Radin Anum, Bandar Baru Seri Petaling, Kuala Lumpur"
"Menara Perkeso,Menara Perkeso, No. 281, Jalan Ampang, Kuala Lumpur"
"Technology Park Malaysia,Lebuhraya Puchong – Sg. Besi, Bukit Jalil, Kuala Lumpur"
"Menara PNB,Jalan Tun Razak, Kuala Lumpur"
"Bandar Sri Permaisuri,Jalan Sri Permaisuri 8, Bandar Sri Permaisuri, Kuala Lumpur"
"Setapak,Wisma Lee Kay Huan, Jalan Genting Kelang, Setapak, Kuala Lumpur"
"Menara Felda,Persiaran KLCC, Kuala Lumpur"
"Bangsar Baru,Jalan Maarof, Bangsar Baru, Kuala Lumpur"
"Pandan Indah,Menara Maxisegar, Jalan Pandan Indah 4/2, Kuala Lumpur"
"Bukit Damansara,Kompleks Pejabat Damansara, Jalan Semantan, Kuala Lumpur"
"Wisma Genting,Wisma Genting, Jalan Sultan Ismail, Kuala Lumpur"
"Taman Setiawangsa,Jalan Setiawangsa 11, Taman Setiawangsa, Kuala Lumpur"
"Wisma FGV,Wisma FGV, Jalan Raja Laut, Kuala Lumpur"
